Country,Year,Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Toatl Electricity generation (TWh),EC Renewables (TWh),EC Fossil fuels (TWh),Total Energy consumption (TWh)
Hungary,2001,22.03,0.26,36.42,0.7728206,247.04901,287.6443
Hungary,2002,21.97,0.23,36.15,0.7032452,241.12793,280.91214
Hungary,2003,22.79,0.33,34.13,1.0214666,252.71704,284.3871
Hungary,2004,20.86,0.94,33.71,2.9223766,253.05676,288.92676
Hungary,2005,20.05,1.87,35.75,5.929491,264.1358,308.07724
Hungary,2006,20.9,1.49,35.85,4.8131022,260.49298,302.06055
Hungary,2007,23.4,1.88,39.96,6.227474,252.03383,298.0855
Hungary,2008,22.85,2.35,40.02,9.264019,244.67545,293.89648
Hungary,2009,17.59,2.89,35.91,10.9692135,220.37941,272.6884
Hungary,2010,18.59,3.02,37.37,11.339028,224.50964,277.82706
Hungary,2011,17.62,2.71,36.02,10.119127,217.82355,269.46396
Hungary,2012,16.19,2.64,34.62,9.791367,199.77081,251.11597
Hungary,2013,12.1,2.78,30.25,10.030909,187.81438,238.0414
Hungary,2014,10.54,3.16,29.35,11.739143,185.84885,238.26877
Hungary,2015,11.24,3.22,30.29,11.794329,198.32663,251.03966
Hungary,2016,12.51,3.25,31.81,11.946817,202.30748,255.4948
Hungary,2017,13.25,3.48,32.83,12.29921,215.8848,269.29346
Hungary,2018,12.43,3.77,31.93,13.446959,217.81221,271.20258
Hungary,2019,13.2,4.7,34.19,15.934133,217.75838,274.8925
Hungary,2020,13.2,5.52,34.78,18.961824,210.90404,270.3273
Hungary,2021,13.06,6.91,35.96,22.668331,221.17038,283.98883
Hungary,2022,12.14,7.53,35.52,24.228708,201.94504,265.73322
Ireland,1990,13.530001,0.7,14.23,2.0610213,115.8253,117.88633
Ireland,1991,14.18,0.75,14.93,2.205914,120.25572,122.46164
Ireland,1992,14.96,0.82,15.78,2.4306479,120.5881,123.018745
Ireland,1993,15.37,0.77,16.14,2.3064594,123.31961,125.62607
Ireland,1994,15.889999,0.94,16.83,2.776623,128.1589,130.93552
Ireland,1995,16.88,0.72999996,17.61,2.1556537,131.4651,133.62074
Ireland,1996,18.15,0.76,18.91,2.2625566,138.77411,141.03665
Ireland,1997,18.880001,0.81,19.69,2.4113295,143.31888,145.73021
Ireland,1998,19.71,1.18,20.89,3.4798095,153.32564,156.80545
Ireland,1999,20.64,1.1300001,21.77,3.3452125,162.19196,165.53717
Ireland,2000,22.49,1.18,23.67,3.5265622,169.82228,173.34885
Ireland,2001,23.61,1.03,24.64,3.042019,180.12549,183.16753
Ireland,2002,23.46,1.38,24.84,4.0533037,177.30066,181.35396
Ireland,2003,23.72,1.14,24.86,3.3257463,173.52893,176.85468
Ireland,2004,23.83,1.39,25.22,4.051275,176.31061,180.36188
Ireland,2005,23.75,1.87,25.62,5.4168305,182.75717,188.174
Ireland,2006,24.64,2.47,27.11,7.1028886,187.19153,194.29442
Ireland,2007,25.56,2.81,28.37,8.197734,189.12663,197.32437
Ireland,2008,26.32,3.6,29.92,10.779375,185.59964,196.37903
Ireland,2009,23.85,4.12,27.97,12.460226,164.15132,176.61156
Ireland,2010,24.44,3.72,28.16,11.533102,166.76732,178.30043
Ireland,2011,21.73,5.43,27.16,16.175571,154.08609,170.26166
Ireland,2012,21.88,5.25,27.13,15.588572,151.88,167.46858
Ireland,2013,19.94,5.63,25.57,16.727386,148.26996,164.99734
Ireland,2014,19.42,6.39,25.81,18.887896,145.66513,164.55302
Ireland,2015,20.24,7.86,28.1,22.819649,151.09332,173.913
Ireland,2016,22.71,7.52,30.23,21.76855,159.87277,181.64131
Ireland,2017,21.78,8.88,30.66,25.89155,156.51605,182.4076
Ireland,2018,20.7,10.2,30.9,29.248466,157.23679,186.48524
Ireland,2019,18.92,11.8,30.72,33.759018,153.61598,187.375
Ireland,2020,18.51,13.46,31.97,37.91235,138.31831,176.23067
Ireland,2021,19.98,11.62,31.6,33.025894,146.44899,179.47488
Ireland,2022,20.63,12.98,33.61,38.18565,151.49394,189.6796
Italy,1990,178.25,34.899998,213.15,102.83484,1752.051,1854.8859
Italy,1991,172.9,45.530003,218.43,134.30368,1778.8286,1913.1323
Italy,1992,176.6,45.769997,222.37,134.94183,1770.387,1905.3289
Italy,1993,174.17001,45.219997,219.39,133.31262,1731.7411,1865.0537
Italy,1994,180.2,48.250004,228.45,142.27066,1718.5654,1860.836
Italy,1995,195.54,41.46,237,122.230545,1814.1665,1936.397
Italy,1996,192.83,46.22,239.05,136.31618,1799.4818,1935.798
Italy,1997,199.62,46.190002,245.81,136.297,1832.9872,1969.2843
Italy,1998,206.45,46.48,252.93,137.11551,1877.4658,2014.5813
Italy,1999,207.28,51.32,258.6,151.47693,1919.9059,2071.3826
Italy,2000,218.28,50.87,269.15,150.21736,1949.0676,2099.2852
Italy,2001,216.73,54.35,271.08,159.5912,1937.9456,2097.5369
Italy,2002,228.45,48.31,276.76,141.21744,1942.1345,2083.352
Italy,2003,238.52,46.86,285.38,136.27655,2013.5079,2149.7844
Italy,2004,240.95,53.88,294.83,158.66876,2038.8511,2197.5198
Italy,2005,247.29,48.43,295.72,141.55403,2058.6958,2200.2498
Italy,2006,256.03,50.64,306.67,147.39128,2042.6763,2190.0674
Italy,2007,259.49,47.72,307.21,138.17796,2010.1216,2148.2993
Italy,2008,254.34,58.16,312.5,173.0774,1938.8276,2111.905
Italy,2009,218.32,69.26,287.58,208.71492,1762.9906,1971.7054
Italy,2010,220.93,76.98,297.91,232.81502,1803.9177,2036.7327
Italy,2011,216.78,82.96,299.74,248.60117,1749.3113,1997.9124
Italy,2012,204.26,92.22,296.48,275.36456,1668.5127,1943.8773
Italy,2013,175.07,112,287.07,327.3124,1531.2878,1858.6002
Italy,2014,156.76,120.68,277.44,347.87772,1414.4424,1762.3202
Italy,2015,172.06,108.89,280.95,317.7721,1496.9937,1814.7657
Italy,2016,179.19,108.01,287.2,313.95096,1507.9805,1821.9315
Italy,2017,189.44,103.89,293.33,301.73386,1541.3867,1843.1206
Italy,2018,172.98,114.41,287.39,328.604,1525.0361,1853.6401
Italy,2019,175.52,115.83,291.35,325.0631,1494.4926,1819.5555
Italy,2020,161.17,116.9,278.07,330.9662,1320.9961,1651.9622
Italy,2021,170.06,116.33,286.39,319.81708,1440.9874,1760.8044
Italy,2022,177.25,101.61,278.86,283.30524,1423.48,1706.7852
Latvia,1990,2.15,4.5,6.65,13.294623,73.17163,86.466255
Latvia,1991,2.37,3.28,5.65,9.684139,69.99541,79.67954
Latvia,1992,1.3199999,2.52,3.84,7.45457,49.580112,57.034683
Latvia,1993,1.05,2.88,3.93,8.504301,40.651257,49.155556
Latvia,1994,1.13,3.31,4.44,9.772849,37.850216,47.623062
Latvia,1995,1.05,2.94,3.99,8.684677,35.883533,44.568214
Latvia,1996,1.26,1.86,3.12,5.502957,35.96225,41.465206
Latvia,1997,1.56,2.95,4.51,8.737903,33.034386,41.772293
Latvia,1998,1.48,4.32,5.8,12.768279,32.693733,45.462013
Latvia,1999,1.35,2.76,4.11,8.158333,30.435944,38.594276
Latvia,2000,1.32,2.82,4.14,8.350537,29.40364,37.75418
Latvia,2001,1.44,2.83,4.27,8.341143,32.3233,40.664444
Latvia,2002,1.49,2.48,3.97,7.256037,33.766403,41.022438
Latvia,2003,1.63,2.34,3.97,6.7875,33.731316,40.518818
Latvia,2004,1.49,3.2,4.69,9.2215605,36.334076,45.555637
Latvia,2005,1.5,3.42,4.92,9.8232,37.134514,46.957714
Latvia,2006,2.1,2.79,4.89,7.980497,36.562912,44.543407
Latvia,2007,1.94,2.82,4.76,8.03238,37.89378,45.92616
Latvia,2008,2.06,3.21,5.27,9.063659,37.179195,46.242855
Latvia,2009,2.01,3.56,5.57,9.99201,33.828762,43.82077
Latvia,2010,2.99,3.64,6.63,10.429333,39.240612,49.669945
Latvia,2011,3.01,3.08,6.09,8.828324,35.507725,44.33605
Latvia,2012,2.06,4.11,6.17,11.610359,34.35238,45.962738
Latvia,2013,2.67,3.53,6.2,10.112938,34.12373,44.236668
Latvia,2014,2.34,2.8,5.14,8.091685,32.6558,40.747486
Latvia,2015,2.76,2.78,5.54,8.16629,33.579346,41.74564
Latvia,2016,2.94,3.48,6.42,9.894611,34.60454,44.49915
Latvia,2017,2.07,5.46,7.53,15.154945,33.823208,48.978153
Latvia,2018,3.23,3.49,6.72,10.212718,33.35177,43.564484
Latvia,2019,3.25,3.19,6.44,9.3461685,35.49099,44.83716
Latvia,2020,2.08,3.64,5.72,10.633692,30.220821,40.854515
Latvia,2021,2.13,3.72,5.85,10.786221,31.612505,42.398724
Latvia,2022,1.41,3.65,5.06,10.674605,28.995295,39.6699
Lithuania,1990,10.92,0.41,28.36,1.2241936,152.35434,201.90991
Lithuania,1991,11.99,0.34,29.33,0.9994622,164.21388,213.4511
Lithuania,1992,3.58,0.31,18.53,0.9196236,88.31126,130.76642
Lithuania,1993,1.26,0.39,13.91,1.1620969,66.31921,102.26923
Lithuania,1994,1.57,0.45,9.73,1.336559,65.050766,88.25322
Lithuania,1995,1.3000001,0.37,13.49,1.1029569,63.989586,98.637634
Lithuania,1996,1.93,0.33,16.2,0.9639786,66.82968,107.354294
Lithuania,1997,2.03,0.3,14.35,0.87231195,63.99836,98.98895
Lithuania,1998,3.1299999,0.42,17.1,1.2330644,66.46477,106.15751
Lithuania,1999,2.75,0.41,13.02,1.2241936,58.610786,87.81855
Lithuania,2000,2.27,0.34,11.03,1.0033064,53.14203,78.03437
Lithuania,2001,2.6,0.33,14.29,0.9626344,58.27297,91.26609
Lithuania,2002,2.66,0.35,17.15,1.0437012,56.747417,97.401474
Lithuania,2003,2.85,0.33,18.66,0.9651757,58.078094,102.13443
Lithuania,2004,3.05,0.43,18.58,1.2446238,59.859,102.862885
Lithuania,2005,3.42,0.46,14.22,1.3563178,64.08221,93.84335
Lithuania,2006,2.79,0.43,11.87,1.4726971,64.52317,89.61744
Lithuania,2007,2.82,0.58,13.23,2.2787428,69.14487,98.10395
Lithuania,2008,2.6,0.6,13.09,2.4311342,68.02335,97.13305
Lithuania,2009,2.84,0.68,14.37,2.5492413,58.401016,90.03387
Lithuania,2010,3.84,0.91,4.75,3.113285,62.64392,65.75721
Lithuania,2011,2.88,1.11,3.99,3.6562352,64.8416,68.49784
Lithuania,2012,3.12,1.18,4.3,4.0438232,64.55679,68.60062
Lithuania,2013,2.45,1.53,3.98,5.006568,58.399178,63.405746
Lithuania,2014,1.95,1.51,3.46,5.032432,56.130875,61.163307
Lithuania,2015,2.32,1.68,4,5.5311537,58.394295,63.925446
Lithuania,2016,1.31,2.1,3.41,6.4927626,58.656914,65.14968
Lithuania,2017,0.82,2.53,3.35,7.729919,60.917324,68.64724
Lithuania,2018,0.55,2.2,2.75,7.2163196,63.582466,70.79878
Lithuania,2019,0.67,2.47,3.14,7.9452286,62.920345,70.86558
Lithuania,2020,1.96,2.57,4.53,8.294201,62.000282,70.29448
Lithuania,2021,1.55,2.62,4.17,8.72791,61.421577,70.14949
Lithuania,2022,1.05,3.12,4.17,7.951223,55.715515,63.666737
Luxembourg,1990,0.53999996,0.08,0.62,0.24690777,36.904346,37.151257
Luxembourg,1991,0.60999995,0.089999996,0.7,0.29300138,39.635735,39.928738
Luxembourg,1992,0.58,0.08,0.66,0.24456139,39.79827,40.04283
Luxembourg,1993,0.59,0.08,0.67,0.24508193,40.32377,40.56885
Luxembourg,1994,0.48000002,0.11,0.59,0.30243942,38.707848,39.01029
Luxembourg,1995,0.38,0.11,0.49,0.32244053,33.61216,33.9346
Luxembourg,1996,0.37,0.08,0.45,0.22673249,34.67255,34.89928
Luxembourg,1997,0.31,0.099999994,0.41,0.30830985,33.850273,34.15858
Luxembourg,1998,0.22,0.15,0.37,0.42706525,32.560677,32.987743
Luxembourg,1999,0.23,0.13,0.36,0.36474308,34.494907,34.85965
Luxembourg,2000,0.24,0.16,0.4,0.50983524,36.694363,37.2042
Luxembourg,2001,0.7,0.17,0.87,0.49922317,39.367466,39.86669
Luxembourg,2002,2.65,0.15,2.8,0.44895828,43.133194,43.58215
Luxembourg,2003,2.65,0.14,2.79,0.41929257,45.284607,45.7039
Luxembourg,2004,3.18,0.19,3.37,0.5758094,51.203964,51.779778
Luxembourg,2005,3.14,0.21,3.35,0.61377716,51.93919,52.552967
Luxembourg,2006,3.29,0.25,3.54,0.71805996,50.90858,51.62664
Luxembourg,2007,2.93,0.26,3.19,1.2822933,48.843357,50.125652
Luxembourg,2008,2.44,0.28,2.72,1.3261783,48.43457,49.76075
Luxembourg,2009,2.88,0.27,3.15,1.2519228,46.34103,47.592953
Luxembourg,2010,2.97,0.27,3.24,1.2530115,48.862724,50.115738
Luxembourg,2011,2.4,0.24,2.64,1.247098,47.574017,48.821117
Luxembourg,2012,2.45,0.31,2.76,1.4319706,46.52097,47.95294
Luxembourg,2013,1.48,0.36,1.84,1.6734536,44.01891,45.692364
Luxembourg,2014,1.51,0.4,1.91,1.9300449,42.34417,44.27421
Luxembourg,2015,0.91,0.43,1.34,2.1648266,40.869637,43.034466
Luxembourg,2016,0.33,0.46,0.79,2.3073568,40.151875,42.459232
Luxembourg,2017,0.3,0.6,0.9,2.9701805,41.384716,44.354897
Luxembourg,2018,0.28,0.68,0.96,3.3157516,43.115196,46.43095
Luxembourg,2019,0.27,0.8,1.07,3.7439573,43.544292,47.288246
Luxembourg,2020,0.25,0.97,1.22,4.4065,36.09159,40.49809
Luxembourg,2021,0.24,0.99,1.23,4.3972363,38.87767,43.27491
Luxembourg,2022,0.16,0.97,1.13,4.2396793,34.83289,39.07257
Malta,1990,1.11,0,1.11,0,0,8.106475
Malta,1991,1.42,0,1.42,0,0,8.539957
Malta,1992,1.49,0,1.49,0,0,8.975677
Malta,1993,1.5,0,1.5,0,0,9.474625
Malta,1994,1.54,0,1.54,0,0,10.14338
Malta,1995,1.63,0,1.63,0,0,9.842447
Malta,1996,1.66,0,1.66,0,0,10.209197
Malta,1997,1.69,0,1.69,0,0,10.890258
Malta,1998,1.72,0,1.72,0,0,11.405865
Malta,1999,1.85,0,1.85,0,0,12.645787
Malta,2000,1.92,0,1.92,0,0,18.514675
Malta,2001,1.94,0,1.94,0,0,20.39525
Malta,2002,2.05,0,2.05,0,0,19.899649
Malta,2003,2.24,0,2.24,0,0,23.127022
Malta,2004,2.22,0,2.22,0,0,24.279015
Malta,2005,2.24,0,2.24,0,0,20.713343
Malta,2006,2.26,0,2.26,0,0,21.168182
Malta,2007,2.3,0,2.3,0,0,23.059702
Malta,2008,2.31,0,2.31,0,0,23.88174
Malta,2009,2.17,0,2.17,0,0,25.449509
Malta,2010,2.11,0,2.11,0,0,30.380507
Malta,2011,2.17,0,2.17,0,0,28.883959
Malta,2012,2.27,0.03,2.3,0,0,27.543236
Malta,2013,2.22,0.04,2.26,0,0,26.145313
Malta,2014,2.17,0.08,2.25,0,0,26.757277
Malta,2015,1.2,0.1,1.3,0,0,29.281233
Malta,2016,0.72,0.14,0.86,0,0,32.549335
Malta,2017,1.48,0.17,1.65,0,0,37.07361
Malta,2018,1.77,0.2,1.97,0,0,38.70257
Malta,2019,1.86,0.21,2.07,0,0,40.33273
Malta,2020,1.9,0.25,2.15,0,0,37.139946
Malta,2021,1.95,0.27,2.22,0,0,39.150482
Malta,2022,1.99,0.01,2,0,0,0
Netherlands,1990,67.479996,0.82,71.8,2.5557127,898.24207,910.73474
Netherlands,1991,69.99,0.93000007,74.25,2.961895,915.6553,928.0633
Netherlands,1992,72.25,1,77.05,3.1930108,925.14185,939.1174
Netherlands,1993,71.89,1.0999999,76.94,3.5443883,932.21924,946.9661
Netherlands,1994,74.43,1.26,79.66,3.9969714,921.5554,936.80884
Netherlands,1995,75.45,1.4100001,80.88,4.447009,959.11365,974.96185
Netherlands,1996,79.22,1.8199999,85.2,5.7356176,999.5709,1017.11066
Netherlands,1997,81.86,2.01,86.28,6.3527217,985.66504,998.8505
Netherlands,1998,84.75,2.3200002,90.88,7.3114233,987.8223,1005.94214
Netherlands,1999,80.19,2.51,86.53,7.898447,975.01575,993.77686
Netherlands,2000,82.49,2.97,89.39,9.321724,986.37683,1006.81946
Netherlands,2001,86.14,3.31,93.43,10.334042,1024.0242,1045.5573
Netherlands,2002,87.86,3.98,95.75,12.40991,1022.68976,1046.061
Netherlands,2003,88.62,3.96,96.6,12.252638,1029.6417,1053.0762
Netherlands,2004,91.89,5.3,101.01,16.365189,1061.8103,1088.7443
Netherlands,2005,88.22,7.46,99.68,23.112946,1078.1451,1112.242
Netherlands,2006,87.17,8.05,98.69,25.224594,1054.8782,1089.5758
Netherlands,2007,93.21,7.59,105,26.773556,1069.3535,1107.524
Netherlands,2008,93.7,9.53,107.4,31.88191,1051.2654,1094.3888
Netherlands,2009,98.48,10.83,113.56,37.02268,1030.8833,1079.291
Netherlands,2010,103.95,11.19,119.11,36.71608,1123.363,1170.6506
Netherlands,2011,97.35,12.32,113.81,40.83967,1063.2908,1115.0919
Netherlands,2012,86.69,12.47,103.07,41.52012,1043.8792,1095.6993
Netherlands,2013,86.51,12.1,101.5,39.765636,1015.55896,1062.885
Netherlands,2014,87.48,11.65,103.22,38.486805,967.208,1016.3307
Netherlands,2015,91.03,13.69,108.8,43.052643,980.5152,1034.1061
Netherlands,2016,95.09,14.78,113.83,45.06448,988.3837,1043.6217
Netherlands,2017,94.81,17.43,115.64,52.689648,989.9987,1051.3774
Netherlands,2018,91.26,18.91,113.68,58.983944,957.98645,1025.8938
Netherlands,2019,94.09,22.79,120.79,71.2718,940.4396,1021.60095
Netherlands,2020,85.95,32.75,122.79,100.24804,878.0873,988.6362
Netherlands,2021,77.31,40.47,121.61,121.46862,884.19116,1015.27155
Netherlands,2022,68.55,48.2,120.89,141.42102,831.7748,983.5985
Poland,1990,132.95,1.49,134.44,4.3656244,1205.9641,1210.3297
Poland,1991,131.22,1.5,132.72,4.478663,1179.6852,1184.164
Poland,1992,129.07,1.62,130.69,4.810518,1127.586,1132.3966
Poland,1993,130.23,1.55,131.78,4.594724,1127.2528,1131.8475
Poland,1994,131.51,1.78,133.29,5.287265,1077.8927,1083.18
Poland,1995,135.09,1.96,137.05,5.796673,1102.9259,1108.7225
Poland,1996,139.12999,2.06,141.19,6.134509,1157.8153,1163.9498
Poland,1997,138.81,2.13,140.94,6.3440523,1146.1967,1152.5406
Poland,1998,138.23999,2.53,140.77,7.541801,1096.6576,1104.1995
Poland,1999,137.65001,2.3400002,139.99,7.000235,1075.7216,1082.7218
Poland,2000,140.85,2.33,143.18,6.9476814,1010.57684,1017.52454
Poland,2001,140.94,2.78,143.72,8.288825,1002.1676,1010.4564
Poland,2002,139.72,2.77,142.49,8.193144,991.3861,999.5792
Poland,2003,147.76,2.25,150.01,6.985733,1027.221,1034.2067
Poland,2004,149.06,3.2,152.26,9.279782,1031.9388,1041.2186
Poland,2005,151.2,3.85,155.05,12.085398,1052.26,1064.3455
Poland,2006,156.16,4.29,160.45,13.946418,1103.0348,1116.9812
Poland,2007,153.08,5.43,158.51,17.401634,1096.4136,1113.8153
Poland,2008,148.03,6.61,154.64,25.019123,1108.2928,1133.312
Poland,2009,142.4,8.69,151.09,33.52833,1060.0883,1093.6166
Poland,2010,146.12,10.88,157,40.275948,1125.8989,1166.1749
Poland,2011,149.88,13.13,163.01,47.41675,1125.5137,1172.9304
Poland,2012,144.75,16.88,161.63,59.56532,1079.6759,1139.2412
Poland,2013,146.85,17.06,163.91,59.04518,1082.9036,1141.9489
Poland,2014,138.53,19.85,158.38,66.672775,1034.271,1100.9438
Poland,2015,141.55,22.69,164.24,72.98464,1039.33,1112.3146
Poland,2016,143.28,22.81,166.09,70.227325,1090.4602,1160.6876
Poland,2017,145.8,24.13,169.93,74.65727,1131.2434,1205.9008
Poland,2018,147.87,21.62,169.49,71.358345,1148.2764,1219.6348
Poland,2019,137.58,25.46,163.04,82.80545,1101.9427,1184.7483
Poland,2020,128.91,28.23,157.14,88.122856,1046.0571,1134.1799
Poland,2021,148.21,30.56,178.77,96.76028,1129.128,1225.8883
Poland,2022,141.57,37.73,179.3,112.284485,1086.0372,1198.3218
Portugal,1990,18.5,9.83,28.33,29.290768,0,198.46422
Portugal,1991,19.880001,9.84,29.72,29.33638,0,205.95268
Portugal,1992,24.119999,5.4900002,29.61,16.579233,0,208.12202
Portugal,1993,21.560001,9.43,30.99,28.165512,0,214.16861
Portugal,1994,19.7,11.63,31.33,34.641014,0,221.91728
Portugal,1995,23.77,9.38,33.15,27.990545,0,243.20699
Portugal,1996,18.630001,15.780001,34.41,46.913532,203.87631,250.78984
Portugal,1997,19.91,14.2300005,34.14,42.3185,212.08316,254.40164
Portugal,1998,24.76,14.150001,38.91,42.08186,235.42966,277.5115
Portugal,1999,34.29,8.62,42.91,25.83548,257.99118,283.82666
Portugal,2000,30.51,12.87,43.38,38.346996,254.97513,293.32214
Portugal,2001,30.43,15.74,46.17,46.57521,251.08948,297.6647
Portugal,2002,35.92,9.73,45.65,28.799786,266.6142,295.414
Portugal,2003,28.82,17.7,46.52,51.74505,251.62032,303.36536
Portugal,2004,32.51,12.31,44.82,35.969425,261.555,297.5244
Portugal,2005,37.93,8.25,46.18,24.099941,272.85782,296.9578
Portugal,2006,32.85,15.72,48.57,45.905983,248.88158,294.78754
Portugal,2007,30.68,16.21,46.89,47.95774,249.1106,297.06833
Portugal,2008,30.84,14.64,45.48,43.43313,243.31506,286.74817
Portugal,2009,31.19,18.29,49.48,54.517426,234.70938,289.2268
Portugal,2010,25.34,28.35,53.69,83.57334,221.51447,305.08783
Portugal,2011,27.77,24.11,51.88,71.33656,219.69902,291.03558
Portugal,2012,26.2,19.37,45.57,57.678062,208.10054,265.7786
Portugal,2013,21.06,29.47,50.53,84.92865,206.8649,291.79355
Portugal,2014,20.39,31.57,51.96,90.17505,207.50575,297.68082
Portugal,2015,26.9,24.37,51.27,71.23256,219.99551,291.2281
Portugal,2016,26.83,32.3,59.13,91.19489,220.30112,311.49603
Portugal,2017,35.12,22.58,57.7,64.728065,237.14981,301.87787
Portugal,2018,29,29.41,58.41,82.67627,224.92155,307.59784
Portugal,2019,24.32,27.41,51.73,77.26948,215.66975,292.93924
Portugal,2020,21.43,30.11,51.54,84.1889,181.31973,265.50864
Portugal,2021,17.89,31.55,49.44,88.75909,177.59512,266.35422
Portugal,2022,18.87,28.09,46.96,74.66109,183.07988,257.74097
Romania,1990,52.89,11.41,64.3,33.748177,701.46704,735.2153
Romania,1991,42.21,14.59,56.8,43.13656,581.3076,624.4442
Romania,1992,42.309998,11.7,54.01,34.60316,516.0707,550.6738
Romania,1993,42.59,12.77,55.36,37.758034,497.4638,535.22186
Romania,1994,41.989998,13.05,55.04,38.57688,466.27396,504.85083
Romania,1995,42.36,16.69,59.05,49.36102,505.44162,554.8026
Romania,1996,43.879997,15.76,61.03,46.587364,500.88135,551.40155
Romania,1997,33.8,17.52,56.72,51.809036,456.19366,523.3253
Romania,1998,28.789999,18.89,52.99,55.86011,407.92636,478.84515
Romania,1999,26.98,18.29,50.47,54.083332,352.33823,421.17096
Romania,2000,31.32,14.78,51.56,43.698387,361.15204,420.3319
Romania,2001,33.18,14.92,53.55,43.84061,365.91168,425.10504
Romania,2002,32.86,16.05,54.42,46.845196,379.02023,441.30682
Romania,2003,36.67,13.26,54.84,38.46232,389.12903,441.2445
Romania,2004,34.43,16.51,56.49,47.597485,394.38556,457.3245
Romania,2005,33.64,20.22,59.41,57.88015,385.1521,458.29587
Romania,2006,38.71,18.36,62.7,52.24586,399.99896,467.62262
Romania,2007,37.96,16.01,61.68,45.744774,384.52997,451.1921
Romania,2008,36.5,17.22,64.95,49.64898,372.5271,452.44724
Romania,2009,30.43,15.55,57.73,45.276573,318.53482,395.30527
Romania,2010,28.69,20.3,60.61,57.720657,310.25522,398.93295
Romania,2011,33.93,16.32,62,47.25503,330.32312,408.6753
Romania,2012,32.38,14.93,58.78,43.042583,319.74847,392.96033
Romania,2013,26.78,20.15,58.55,56.364693,279.87015,366.62045
Romania,2014,26.39,27.12,65.19,69.64233,280.51196,380.50665
Romania,2015,28.09,26.19,65.92,72.6578,279.72678,382.46426
Romania,2016,26.33,26.97,64.59,75.33796,278.23975,382.57
Romania,2017,28.15,24.29,63.95,68.08532,291.52045,388.997
Romania,2018,26.87,26.19,64.44,72.94441,294.5927,396.42142
Romania,2019,23.27,24.63,59.18,69.52496,289.2844,387.34177
Romania,2020,19.54,24.61,55.62,69.96195,270.51736,369.37567
Romania,2021,21.51,26.34,59.13,73.95324,284.9745,387.2613
Romania,2022,21.29,23.73,56.3,65.295685,267.64795,360.68604
Slovakia,1990,11.57,1.88,25.49,5.5591397,208.64227,248.35374
Slovakia,1991,11.16,1.41,24.26,4.1634407,184.85727,222.18843
Slovakia,1992,10.25,1.94,23.24,5.727688,176.66003,213.74225
Slovakia,1993,9.09,3.47,24.05,10.251882,167.13254,209.9761
Slovakia,1994,8.51,4.36,25.47,12.877687,158.22707,206.84326
Slovakia,1995,10.11,4.88,26.43,14.430107,162.86652,209.74927
Slovakia,1996,9.98,4.23,25.46,12.499193,166.78403,211.20241
Slovakia,1997,9.91,4.06,25.04,12.017203,163.88437,207.3214
Slovakia,1998,10.07,4.27,25.73,12.617473,164.57278,209.52092
Slovakia,1999,10.52,4.47,28.11,13.229569,160.84409,211.29335
Slovakia,2000,9.68,4.61,30.78,13.646504,157.79874,218.24721
Slovakia,2001,9.65,5.08,31.83,15.305247,161.03802,224.55817
Slovakia,2002,8.81,5.42,32.18,15.892464,160.24976,226.4268
Slovakia,2003,9.52,3.58,30.96,10.434813,159.7336,219.88297
Slovakia,2004,9.29,4.13,30.45,11.906182,156.05617,215.043
Slovakia,2005,8.93,4.68,31.34,13.512898,164.04572,226.26744
Slovakia,2006,8.39,4.81,31.21,14.272614,156.7252,220.17848
Slovakia,2007,7.57,4.93,27.83,14.812246,150.20972,206.62883
Slovakia,2008,7.46,4.57,28.73,13.860085,153.30853,212.20859
Slovakia,2009,6.89,4.92,25.89,14.90797,139.6745,192.3178
Slovakia,2010,6.9,5.95,27.42,17.883316,148.79968,205.4999
Slovakia,2011,7.8,5,28.21,15.481274,141.41418,197.69135
Slovakia,2012,7.28,5.47,28.24,16.526114,132.59755,189.89334
Slovakia,2013,6.36,6.36,28.44,18.925377,134.54913,194.58702
Slovakia,2014,5.3,6.24,27.04,19.139921,121.68817,181.1199
Slovakia,2015,5.34,6.05,26.54,18.829834,125.020325,182.98993
Slovakia,2016,5.28,6.63,26.68,20.276669,126.514496,184.74371
Slovakia,2017,5.67,6.54,27.29,19.982367,136.099,194.5947
Slovakia,2018,5.92,5.81,26.57,17.938284,135.67352,191.29564
Slovakia,2019,6.26,6.65,28.19,20.225433,125.968155,184.84892
Slovakia,2020,6.22,6.85,28.51,20.732685,121.471115,181.1254
Slovakia,2021,7.16,6.77,29.66,20.65394,135.07193,195.22316
Slovakia,2022,4.77,6.06,26.73,19.704576,131.77066,191.24365
Slovenia,1990,4.87,2.95,12.44,8.7940855,47.388844,69.29792
Slovenia,1991,4.1800003,3.61,12.74,10.6688175,44.689255,69.40945
Slovenia,1992,4.9500003,3.42,12.34,10.121774,43.49163,64.88118
Slovenia,1993,4.95,3.04,11.95,8.9744625,46.45835,66.65802
Slovenia,1994,4.8799996,3.4,12.89,10.050806,47.820854,70.94977
Slovenia,1995,4.8700004,3.25,12.9,9.616129,51.321053,74.497665
Slovenia,1996,4.73,3.67,13.05,10.846236,54.367287,78.158264
Slovenia,1997,5.07,3.09,13.18,9.140054,56.550663,79.932205
Slovenia,1998,5.2299995,3.45,13.72,10.201613,55.7128,80.15589
Slovenia,1999,4.79,3.77,13.26,11.15514,54.8474,79.327515
